City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
464,Airai,TL,-8.9266,125.4092,62.11,92,78,1.01,broken clouds
465,Cherskiy,RU,68.75,161.3,-8.88,96,100,8.99,overcast clouds
466,Sangar,RU,63.9242,127.4739,0.3,92,100,21.41,light snow
467,Tire,TR,38.0888,27.7351,57.33,46,5,1.99,clear sky
468,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,74.48,73,100,10.63,light rain
469,Sobolevo,RU,54.4299,31.8996,49.89,86,80,15.41,broken clouds
470,Oranjemund,NA,-28.55,16.4333,60.33,89,0,3.76,clear sky
471,Hun,LY,29.1268,15.9477,63.57,50,0,3.69,clear sky
472,Charqueada,BR,-22.5097,-47.7781,84.24,44,50,7.23,scattered clouds
473,Winslow,US,35.0242,-110.6974,48.38,31,0,6.91,clear sky
474,Esil,KZ,51.9556,66.4042,33.62,92,100,23.85,light snow
475,Lafia,NG,8.4833,8.5167,78.91,37,11,1.74,few clouds
476,Sibiti,CG,-3.6819,13.3499,69.19,97,99,1.86,light rain
477,Yerbogachen,RU,61.2767,108.0108,-2.04,95,98,4.85,overcast clouds
478,Karasjok,NO,69.4719,25.5112,34.99,97,100,7.7,overcast clouds
479,Porto Tolle,IT,44.9497,12.3245,59.86,61,94,6.11,overcast clouds
480,Saint-Pierre,RE,-21.3393,55.4781,71.28,64,0,5.75,clear sky
481,North Bend,US,43.4065,-124.2243,54.16,82,0,9.22,clear sky
482,Amapa,BR,1.0,-52.0,81.36,69,84,2.17,broken clouds
483,Campos Altos,BR,-19.6961,-46.1714,76.68,53,79,2.59,broken clouds
484,Muncar,ID,-8.4333,114.3333,76.75,89,100,0.69,overcast clouds
485,Biltine,TD,14.5333,20.9167,79.18,23,0,9.75,clear sky
486,Kralendijk,BQ,12.15,-68.2667,84.18,74,40,16.11,scattered clouds
487,Jurado,CO,7.1053,-77.7641,78.82,88,100,6.15,light rain
488,Biak,ID,-0.9131,122.8766,76.23,82,100,3.13,overcast clouds
489,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,87,50,16.84,scattered clouds
490,Dzheyrakh,RU,42.8228,44.6756,22.39,36,96,3.67,overcast clouds
491,Hailar,CN,49.2,119.7,15.01,83,100,7.18,overcast clouds
492,Otradnoye,RU,59.7775,30.8181,50.09,71,28,14.9,scattered clouds
493,Port Blair,IN,11.6667,92.75,79.74,80,52,8.79,broken clouds
494,Kattivakkam,IN,13.2167,80.3167,80.69,86,100,4.76,overcast clouds
495,Puerto Madero,MX,14.7208,-92.4215,88.0,74,20,9.22,few clouds
496,Kijang,KR,35.2442,129.2139,71.33,93,100,16.26,overcast clouds
497,Lexington,US,37.9887,-84.4777,34.34,85,100,4.61,overcast clouds
498,Havelock,US,34.8791,-76.9013,73.38,87,100,10.36,overcast clouds
499,San Vicente,AR,-26.6167,-54.1333,75.65,78,100,3.36,light rain
500,Ishurdi,BD,24.1333,89.0833,67.5,48,1,4.92,clear sky
501,Balabac,PH,7.9868,117.0645,81.27,81,99,7.2,overcast clouds
502,Whitehorse,CA,60.7161,-135.0538,34.57,69,75,18.41,broken clouds
503,Makakilo City,US,21.3469,-158.0858,77.32,71,100,9.22,overcast clouds
504,Ostrovnoy,RU,68.0531,39.5131,35.38,92,100,26.53,light rain
505,Kumluca,TR,36.3703,30.2869,65.75,48,6,6.2,clear sky
506,Moranbah,AU,-22.0016,148.0466,68.49,69,6,9.1,clear sky
507,Ozark,US,37.0209,-93.206,36.52,63,3,5.01,clear sky
508,Soyo,AO,-6.1349,12.3689,77.7,75,5,10.74,clear sky
509,Broken Hill,AU,-31.95,141.4333,70.65,77,80,9.19,light rain
510,Vestmannaeyjar,IS,63.4427,-20.2734,45.1,82,100,20.09,overcast clouds
511,Felanitx,ES,39.4696,3.1483,64.0,88,6,6.6,clear sky
512,Cangucu,BR,-31.395,-52.6756,72.61,68,100,8.41,light rain
513,Masallatah,LY,32.6167,14.0,64.51,66,1,1.12,clear sky
514,Maniitsoq,GL,65.4167,-52.9,26.28,60,100,2.24,overcast clouds
515,Alyangula,AU,-13.8483,136.4192,82.72,76,5,9.33,clear sky
516,Pineville,US,31.3224,-92.4343,46.29,76,100,16.11,overcast clouds
517,Shihezi,CN,44.3,86.0333,35.56,49,17,4.54,few clouds
518,Newton,US,42.337,-71.2092,70.56,67,40,14.97,scattered clouds
519,Povenets,RU,62.8487,34.8262,40.35,85,100,20.71,overcast clouds
520,Codrington,AU,-38.2667,141.9667,55.49,97,47,4.38,scattered clouds
521,Deputatskiy,RU,69.3,139.9,-22.81,100,81,3.51,broken clouds
522,Roebourne,AU,-20.7833,117.1333,75.61,22,0,9.73,clear sky
523,Vitry-Le-Francois,FR,48.7333,4.5833,48.61,93,84,4.72,broken clouds
524,Kanniyakumari,IN,8.0833,77.5667,78.93,81,100,7.45,overcast clouds
525,Mapiripan,CO,2.8892,-72.1256,86.02,67,85,3.62,overcast clouds
526,Abancay,PE,-13.6339,-72.8814,82.47,11,30,9.62,scattered clouds
527,Barra Do Garcas,BR,-15.89,-52.2567,88.38,55,75,4.61,light rain
528,Xichang,CN,27.8964,102.2634,49.78,86,77,1.7,broken clouds
529,Yinchuan,CN,38.4681,106.2731,38.1,37,0,4.07,clear sky
530,Baruun-Urt,MN,46.6806,113.2792,18.77,81,11,11.39,few clouds
531,Atar,MR,20.5169,-13.0499,79.74,10,3,8.08,clear sky
532,Bafoulabe,ML,13.8065,-10.8321,84.07,17,7,2.26,clear sky
533,Tazmalt,DZ,36.3868,4.3989,63.63,61,1,1.66,clear sky
534,Misratah,LY,32.3754,15.0925,68.83,63,0,4.03,clear sky
535,Khandyga,RU,62.6667,135.6,-6.59,89,100,5.75,overcast clouds
536,Oranjestad,AW,12.524,-70.027,84.15,82,20,14.97,few clouds
537,Nizhniy Kuranakh,RU,58.8353,125.4869,18.25,67,95,13.22,overcast clouds
538,Aginskoye,RU,51.1,114.53,12.61,90,51,3.33,broken clouds
539,Honningsvag,NO,70.9821,25.9704,40.75,75,20,11.5,few clouds
540,Slough,GB,51.5095,-0.5954,54.72,85,52,6.91,broken clouds
541,Pisco,PE,-13.7,-76.2167,69.85,68,0,13.8,clear sky
542,Port Macquarie,AU,-31.4333,152.9167,66.09,94,100,5.75,overcast clouds
543,Serenje,ZM,-13.2325,30.2352,65.88,80,94,1.1,overcast clouds
544,Along,IN,28.1667,94.7667,55.49,81,9,2.1,clear sky
545,La Ronge,CA,55.1001,-105.2842,17.82,67,75,13.8,broken clouds
546,Turayf,SA,31.6725,38.6637,61.05,67,0,18.41,clear sky
547,Methoni,GR,36.8197,21.7049,59.22,71,99,22.39,overcast clouds
548,Chute-Aux-Outardes,CA,49.1168,-68.399,31.98,86,100,25.32,overcast clouds
549,Calama,CL,-22.4667,-68.9333,72.09,8,0,25.32,clear sky
550,Yarmouth,US,41.7057,-70.2286,73.87,77,0,11.99,clear sky
551,Dorogino,RU,54.3598,83.3198,31.44,98,100,16.24,light snow
552,Parana,AR,-31.732,-60.5238,69.49,45,100,3.98,light rain
553,Omsukchan,RU,62.5333,155.8,-17.12,100,96,2.35,overcast clouds
554,Evensk,RU,61.95,159.2333,13.35,95,100,7.16,overcast clouds
555,Oyama,JP,36.3,139.8,62.58,80,4,1.88,clear sky
556,Nabire,ID,-3.3667,135.4833,75.78,90,100,2.55,overcast clouds
557,Vagur,FO,61.4732,-6.8119,49.01,90,100,12.73,overcast clouds
558,Kysyl-Syr,RU,63.8986,122.7617,12.58,92,100,6.62,snow
559,Lasa,IT,46.6166,10.7002,50.88,40,59,3.0,broken clouds
560,Acarau,BR,-2.8856,-40.12,81.41,69,66,17.58,broken clouds
561,Labuan,MY,5.2767,115.2417,77.36,94,20,0.0,few clouds
562,Kovdor,RU,67.5662,30.4758,34.45,94,100,11.27,overcast clouds
563,Bulgan,MN,48.8125,103.5347,13.24,69,11,3.69,few clouds
564,Sanmenxia,CN,34.7747,111.1814,45.79,50,100,1.72,overcast clouds
565,Tostedt,DE,53.2833,9.7167,43.92,68,90,5.57,overcast clouds
566,Tamale,GH,9.4008,-0.8393,81.45,59,99,6.76,light rain
567,Tessalit,ML,20.1986,1.0114,77.38,17,51,8.14,broken clouds
568,Sibolga,ID,1.7427,98.7792,75.42,95,100,0.76,overcast clouds
569,Amarante Do Maranhao,BR,-5.5667,-46.7422,77.47,83,100,5.21,moderate rain
570,Road Town,VG,18.4167,-64.6167,86.09,79,40,3.44,scattered clouds
571,Lata,PT,40.1629,-8.3327,57.07,78,100,3.62,overcast clouds
572,Gariaband,IN,20.635,82.0614,61.45,78,62,1.63,broken clouds
573,Znamenskoye,RU,57.1281,73.8282,32.94,99,100,4.05,overcast clouds
574,Tsnori,GE,41.6209,45.9694,47.07,69,2,1.01,clear sky
575,Zhucheng,CN,35.9947,119.3975,43.36,63,93,17.22,overcast clouds
576,Marsaxlokk,MT,35.8419,14.5431,64.08,94,40,9.22,light rain
577,Kyabe,TD,9.4515,18.9449,78.67,29,3,3.42,clear sky
578,Vaxjo,SE,56.8777,14.8091,50.05,93,20,3.44,few clouds
579,Mantua,IT,45.1667,10.7833,51.04,88,98,2.62,overcast clouds
580,Shamary,RU,57.3434,58.2199,36.14,98,100,7.02,light rain
581,Xiongzhou,CN,25.1167,114.3,67.77,71,0,0.83,clear sky
582,Chico,US,39.7285,-121.8375,57.67,54,20,10.36,few clouds
583,Altay,CN,47.8667,88.1167,26.49,68,100,3.69,overcast clouds
584,Izhma,RU,65.0083,53.9113,22.3,95,100,9.6,light snow
585,Lorengau,PG,-2.0226,147.2712,80.56,81,98,4.27,overcast clouds
586,Severo-Yeniseyskiy,RU,60.3725,93.0408,19.29,97,100,3.89,overcast clouds
587,Pokosnoye,RU,55.5258,101.0536,24.35,88,100,5.41,overcast clouds
588,Yantal,RU,56.8471,105.2542,23.83,94,94,8.28,overcast clouds
589,Egvekinot,RU,66.3167,-179.1667,-2.85,83,39,3.4,scattered clouds
590,Sorland,NO,67.667,12.6934,44.46,73,68,9.6,broken clouds
591,Port Pirie,AU,-33.1833,138.0167,61.07,79,30,8.5,scattered clouds
592,Pingshan,CN,22.9938,114.7131,71.17,92,0,2.57,clear sky
593,Etropole,BG,42.8333,24.0,45.32,89,72,1.72,broken clouds
594,Stejaru,RO,44.7667,28.55,45.41,86,99,1.9,overcast clouds
595,Tonstad,NO,58.6626,6.7169,46.2,87,35,2.33,scattered clouds
596,Cravo Norte,CO,6.3017,-70.2041,85.8,64,100,4.79,overcast clouds
597,Mahon,ES,39.8885,4.2658,63.16,94,20,9.22,few clouds
598,Gushikawa,JP,26.3544,127.8686,78.03,96,100,9.22,light rain
599,Carlow,IE,52.8408,-6.9261,56.41,90,100,10.6,overcast clouds
600,Kuruman,ZA,-27.4524,23.4325,68.0,76,86,6.51,overcast clouds
601,Arkadelphia,US,34.1209,-93.0538,52.99,32,0,10.36,clear sky
602,Wakkanai,JP,45.4094,141.6739,39.16,97,100,27.25,light rain
603,Aktau,KZ,43.65,51.2,41.58,82,30,11.12,scattered clouds
604,Jalu,LY,29.0331,21.5482,68.02,46,84,5.14,broken clouds
605,Kaa-Khem,RU,51.6833,94.7333,9.9,91,92,3.09,overcast clouds
606,Virginia Beach,US,36.8529,-75.978,77.05,66,40,11.5,scattered clouds
607,Sao Domingos Do Maranhao,BR,-5.5758,-44.3853,83.98,63,93,1.3,overcast clouds
608,Cururupu,BR,-1.8283,-44.8683,81.66,70,83,5.01,broken clouds
609,Mnogovershinnyy,RU,53.9353,139.9242,7.77,83,9,4.16,clear sky
610,Xining,CN,36.6167,101.7667,28.96,78,62,2.01,broken clouds
611,Ariogala,LT,55.2667,23.4667,50.07,92,65,7.52,broken clouds
612,Benghazi,LY,32.1167,20.0667,67.57,57,5,3.09,clear sky
613,Bilma,NE,18.6853,12.9164,72.36,27,0,9.6,clear sky
614,Marystown,CA,47.1666,-55.1483,49.86,100,100,7.0,overcast clouds
615,Miraflores,MX,19.2167,-98.8083,75.97,38,7,4.34,clear sky
616,Necochea,AR,-38.5473,-58.7368,61.07,99,100,11.05,overcast clouds
617,Kurumkan,RU,54.3,110.3,15.73,94,98,0.54,overcast clouds
618,Holbaek,DK,55.7167,11.7167,55.35,100,100,3.0,overcast clouds
619,Independence,US,39.0911,-94.4155,32.04,67,100,13.8,overcast clouds
620,Aykhal,RU,66.0,111.5,-17.09,98,99,15.55,overcast clouds
621,Sechura,PE,-5.5569,-80.8222,73.29,59,44,15.86,scattered clouds
622,North Mankato,US,44.1733,-94.0339,28.85,81,100,14.97,overcast clouds
623,Sur,OM,22.5667,59.5289,77.86,57,2,6.96,clear sky
624,Liaocheng,CN,36.4439,115.9647,40.24,68,34,6.64,scattered clouds
625,Ulladulla,AU,-35.35,150.4667,63.5,94,98,5.91,overcast clouds
626,Emerald,AU,-23.5333,148.1667,67.33,78,4,8.52,clear sky
627,Charleston,US,32.7766,-79.9309,78.96,76,20,11.5,few clouds
628,Canals,ES,38.9625,-0.5844,69.03,91,45,2.71,scattered clouds
629,Alta Floresta,BR,-9.8756,-56.0861,85.82,66,75,0.0,broken clouds
630,Kjollefjord,NO,70.9457,27.3465,41.05,81,100,3.44,overcast clouds
631,Antsohihy,MG,-14.8796,47.9875,76.57,88,4,1.9,clear sky
632,Matucana,PE,-11.85,-76.4,67.39,45,28,11.74,scattered clouds
633,Chase,CA,50.8165,-119.6857,34.09,75,44,1.54,scattered clouds
634,Tikhvin,RU,59.6451,33.5294,46.15,71,21,16.51,few clouds
635,Lucapa,AO,-8.4192,20.7447,64.9,95,87,0.89,overcast clouds
636,Half Moon Bay,US,37.4636,-122.4286,61.88,59,0,20.71,clear sky
637,Chardara,KZ,41.2547,67.9692,42.98,59,7,4.88,clear sky
638,Mugur-Aksy,RU,50.35,90.5,10.69,89,98,6.64,overcast clouds
639,Newport,GB,51.5877,-2.9984,58.01,88,5,4.79,clear sky
640,Sao Domingos,BR,-13.3983,-46.3183,70.56,88,100,1.92,overcast clouds
641,Cambridge,CA,43.3601,-80.3127,42.75,86,100,10.36,light rain
642,Cap Malheureux,MU,-19.9842,57.6142,69.48,69,0,1.99,clear sky
643,Mwanza,TZ,-2.5167,32.9,67.84,85,99,8.28,moderate rain
644,Birao,CF,10.2849,22.7882,74.03,29,2,6.11,clear sky
645,Halifax,CA,44.6453,-63.5724,66.09,95,100,28.77,overcast clouds
646,Mareeba,AU,-17.0,145.4333,68.72,93,57,3.71,broken clouds
647,Takoradi,GH,4.8845,-1.7554,78.6,84,40,7.09,light rain
648,Rakovnik,CZ,50.1037,13.7334,45.45,82,91,2.37,overcast clouds
649,Urucara,BR,-2.5364,-57.76,91.51,42,98,3.04,overcast clouds
650,Severodvinsk,RU,64.5635,39.8302,35.71,95,100,12.68,overcast clouds
651,Bardiyah,LY,31.7561,25.0865,65.5,58,0,5.5,clear sky
652,Baykit,RU,61.67,96.37,18.0,96,100,2.64,light snow
653,Znamensk,RU,48.5842,45.7338,43.32,84,5,20.76,clear sky
654,Sampit,ID,-2.5333,112.95,74.17,99,100,2.37,moderate rain
655,Etchoropo,MX,26.7667,-109.6667,80.42,35,39,10.71,scattered clouds
656,Araouane,ML,18.9048,-3.5265,79.93,14,31,6.82,scattered clouds
657,Kouqian,CN,43.6391,126.4578,7.57,99,69,1.52,broken clouds
658,Uvira,CD,-3.4067,29.1458,70.48,95,100,6.49,heavy intensity rain
659,Bukama,CD,-9.2,25.85,67.82,96,64,2.19,broken clouds
660,Kamaishi,JP,39.2667,141.8833,58.37,89,14,7.83,few clouds
661,Dongsheng,CN,39.8161,109.9776,28.42,70,0,5.91,clear sky
662,Rybinsk,RU,58.0446,38.8426,46.54,67,88,22.77,overcast clouds
663,Olafsvik,IS,64.8945,-23.7142,43.54,74,100,10.78,overcast clouds
664,Marabba,SD,12.35,32.1833,79.63,19,57,12.01,broken clouds
665,Tromso,NO,69.6496,18.957,38.37,93,75,0.0,broken clouds
666,Chernyshevskiy,RU,63.0128,112.4714,-4.63,94,92,8.79,overcast clouds
667,Taltal,CL,-25.4,-70.4833,63.9,64,78,5.84,broken clouds
668,Cowra,AU,-33.8333,148.6833,65.34,87,100,7.58,light rain
669,Hami,CN,42.8,93.45,32.05,54,9,3.47,clear sky
670,Maragogi,BR,-9.0122,-35.2225,77.13,85,25,6.51,scattered clouds
671,Santiago De Cao,PE,-7.9589,-79.2392,64.53,77,100,8.05,fog
672,Gazanjyk,TM,39.2446,55.5154,51.6,41,99,4.63,overcast clouds
673,Scituate,US,42.1959,-70.7259,71.15,72,0,5.99,clear sky
674,Gerash,IR,27.6652,54.1371,62.74,35,92,6.02,overcast clouds
675,Ust-Nera,RU,64.5667,143.2,-22.0,99,83,4.74,broken clouds
676,Bairiki,KI,1.3292,172.9752,82.4,69,20,10.36,few clouds
677,Fukue,JP,32.6881,128.8419,68.54,94,99,4.43,overcast clouds
678,Revda,RU,56.801,59.9303,34.18,98,100,7.4,light snow
679,Matara,LK,5.9485,80.5353,76.14,88,100,3.8,overcast clouds
680,Ecija,ES,37.5422,-5.0826,62.38,51,24,4.54,few clouds
681,Merauke,ID,-8.4667,140.3333,79.52,84,100,9.51,overcast clouds
682,Tuapse,RU,44.1125,39.0742,51.58,73,15,0.87,few clouds
683,Marathon,US,44.9,-89.7668,31.66,75,100,14.97,overcast clouds
684,Pascagoula,US,30.3658,-88.5561,56.12,93,100,14.97,overcast clouds
685,Daru,PG,-9.0763,143.2092,80.46,82,99,9.55,overcast clouds
686,Aketi,CD,2.7388,23.7833,69.37,98,99,2.04,overcast clouds
687,Bayir,TR,37.2687,28.2167,48.72,59,3,1.19,clear sky
688,Eregli,TR,37.5133,34.0467,47.32,62,0,1.03,clear sky
689,Xinzhi,CN,36.4989,111.7047,44.64,57,100,2.77,overcast clouds
690,Kununurra,AU,-15.7667,128.7333,78.78,89,75,9.22,broken clouds
691,Olkhovka,RU,53.2115,60.6069,34.77,96,100,20.69,overcast clouds
692,Hay River,CA,60.8156,-115.7999,19.38,86,100,8.05,overcast clouds
693,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,68.7,81,100,12.03,overcast clouds
694,Troitsk,RU,54.0979,61.5773,37.33,88,100,18.68,overcast clouds
695,Santa Lucia,ES,27.9117,-15.5407,66.76,88,20,5.75,few clouds
696,Hofn,IS,64.2539,-15.2082,44.17,80,100,9.37,overcast clouds
